id,label,nodes_n,degree,eigenvec,katz
114,Government of Iran,1,4,0,1.11
116,Government of Iraq,1,309,0,1.21
115,Government of Turkey,1,7,0,1.11
4357,Jaysh al-Mukhtar,1,3,-0,1.11
366,Hezbollah,1,2,0,1.13
118,Government of Syria,3,10640,1,1.54
5540,"IS, Jabhat Fateh al-Sham",2,54,0,1.32
3232,al-Tawhid Brigade,1,7,0,1.21
5565,"Ahfad al Rasoul Brigade, Ahrar al-Sham, IS, Islamic Kurdish Front, Jabhat Fateh al-Sham",1,9,0,1.21
5567,"Ahrar al-Sham, al-Tawhid Brigade, IS, Jabhat Fateh al-Sham",1,36,0,1.21
234,IS,8,412,0.01,2.1
5563,Ahfad al Rasoul Brigade,1,4,0,1.21
7582,Dawn of Freedom Brigades,1,1,0,1.21
7672,"Ahfad al Rasoul Brigade, Ahrar al-Sham, al-Farouq Brigades, Ghuraba al-Sham, IS, Jabhat Fateh al-Sham, Jazeera-Euphrates Liberation Front, Liwa al-Fateh",1,14,0,1.21
7676,"Ahrar al-Sham, al-Tawhid Brigade, IS, Islamic Kurdish Front, Jabhat Fateh al-Sham",1,22,0,1.21
309,PJAK,1,4,0,1.11
323,PKK,1,7,-0,1.11
308,MEK,1,3,-0,1.11
1170,Jabhat Fateh al-Sham,2,5,0,1.32
4456,Syrian insurgents,1,10551,1,1.15
4163,PYD,8,160,0,2.1
5575,Islamic Front,1,2,0,1.21
7631,Northern Storm Brigade,1,10,0,1.21
5541,Jabhat al-Akrad,1,4,0,1.13
