Side,Time,N_engagements,total_N_engagements,engagements_prop
Government of Nigeria,2011,55,70,0.8
Government of Nigeria,2012,120,120,1
Government of Nigeria,2013,92,103,0.9
Government of Nigeria,2014,169,184,0.9
Government of Nigeria,2015,166,251,0.7
Government of Nigeria,2016,217,270,0.8
