label,id,nodes_n,degree
Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,1,3,34
Muslim Youth Sect Militia (Nigeria),2,1,2
Military Forces of Nigeria (1999-2015),3,2,14
Christian Militia (Nigeria),4,5,8
Fulani Ethnic Militia (Nigeria),5,2,3
Police Forces of Nigeria (1999-2015),6,3,22
Muslim Militia (Nigeria),7,3,4
Private Security Forces (Nigeria),8,1,1
