id,label,nodes_n,degree,eigenvec,katz
116,Government of Iraq,1,696,0,1.72
234,IS,35,2749,0.06,7.23
118,Government of Syria,3,10211,1,2.06
366,Hezbollah,3,11,0,2.07
119,Government of Lebanon,1,8,0,1.72
3,Government of United States of America,1,7,0,1.11
121,Government of Israel,1,2,0,1.21
5540,"IS, Jabhat Fateh al-Sham",1,6,0,1.22
1170,Jabhat Fateh al-Sham,4,36,0,2.26
6015,Harkat Hazm,1,4,0,1.23
6038,"Jabhat Fateh al-Sham, Liwa al-Aqsa",1,10,0,1.21
6419,Euphrates Vulcano,1,144,0,1.72
6389,"Ahrar al-Sham, Jabhat Fateh al-Sham",1,1,0,1.72
6564,Mare’ Operations Room,1,3,0,1.72
7443,"16th Division, Islamic Front, Jabhat Fateh al-Sham",1,1,0,1.72
7455,"Authenticity and Development Front, Islamic Front",1,7,0,1.72
7584,"Euphrates Islamic Liberation Front, Islamic Front, Jabhat Fateh al-Sham, Liwa Thuwar ar-Raqqa",1,33,0,1.72
7601,Ahrar Ghurayan,1,6,0,1.22
7612,"Authenticity and Development Front, Islamic Front, Jabhat Fateh al-Sham",1,84,0,1.72
7646,"Dawn of Freedom Brigades, Euphrates Islamic Liberation Front, Islamic Front, Jabhat al-Akrad, Liwa Thuwar ar-Raqqa",1,37,0,1.72
7650,"Dawn of Freedom Brigades, Jabhat al-Akrad, Northern Storm Brigade",1,9,0,1.72
7662,"Baz al-Islamiya, Dawn of Freedom Brigades, Islamic Front, Jabhat al-Akrad, Jabhat Fateh al-Sham, Liwa al-Sultan Murad, Majd al-Sham",1,49,0,1.72
7663,"Dawn of Freedom Brigades, Harkat Hazm, Islamic Front, Jabhat al-Akrad, Jabhat Fateh al-Sham, Mujahideen Army, Nour al-Din al-Zenki, Sham Legion",1,14,0,1.72
6393,Authenticity and Development Front,1,16,0,1.72
115,Government of Turkey,1,5,0,1.11
4359,JRTN,1,6,0,1.72
4456,Syrian insurgents,1,9586,1,1.21
769,al-Qaida,1,7,0,1.11
4163,PYD,4,313,0,2.17
5575,Islamic Front,1,71,0,1.72
6011,SRF,3,36,0,2.07
6012,Mujahideen Army,1,7,0,1.72
6014,"Islamic Front, Mujahideen Army, SRF",1,246,0,1.72
6030,"Islamic Front, Jabhat al-Akrad, Jabhat Fateh al-Sham, Mujahideen Army",1,2,0,1.72
6040,"Islamic Front, Jabhat Fateh al-Sham",1,136,0,1.72
6069,"Islamic Front, Jabhat Fateh al-Sham, Mujahideen Army",1,31,0,1.72
6333,Southern Front,1,1,0,1.72
7150,"Jaysh al-Sanadid, PYD",1,25,0,1.72
7426,"al-Qa'qa Brigade, Army of Ahl al-Sunni wal Jamaa , Army of al-Ikhlas, Army of Maoata al-Islami, Authenticity and Development Front, Bayareq al-Shaaitat , Islamic Front, Jabhat Fateh al-Sham, Jaish al-Muhajireen wal-Ansar, Liwa al-Qadisiya",1,99,0,1.72
7437,"Islamic Front, Jabhat al-Akrad, Jabhat Fateh al-Sham, Mujahideen Army, SRF",1,2,0,1.72
7468,"Islamic Front, Jabhat al-Akrad, Mujahideen Army, SRF",1,21,0,1.72
7615,"Jabhat Fateh al-Sham, Liwa al-Qadisiya, Omar al-Mukhtar Battalion",1,1,0,1.72
7649,"Islamic Front, Jabhat al-Akrad, Liwa Thuwar ar-Raqqa",1,18,0,1.72
7656,"Islamic Front, Northern Storm Brigade",1,10,0,1.72
7666,"Islamic Front, Jabhat Fateh al-Sham, Liwa al-Jihad fi Sabeel Allah, Liwa Thuwar ar-Raqqa",1,34,0,1.72
323,PKK,1,5,0,1.11
