id,label,nodes_n,degree,eigenvec,katz
75,Government of Niger,1,12,0.06,1.16
84,Government of Nigeria,2,217,1,1.29
83,Government of Cameroon,2,32,0.13,1.29
87,Government of Chad,1,3,0.02,1.16
234,IS,5,234,1,1.61
4000,Yan Gora,1,6,0.03,1.16
1051,Boko Haram,2,36,0.15,1.26
